Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-05-06,698.0,722.0,690.0,722.0,15575000,0.0,0.0
1999-05-07,718.0,720.0,690.0,696.0,15165000,0.0,0.0
1999-05-10,696.0,704.0,690.0,694.0,6305000,0.0,0.0
1999-05-11,700.0,704.0,688.0,688.0,8430000,0.0,0.0
1999-05-12,688.0,700.0,688.0,700.0,12980000,0.0,0.0
1999-05-13,692.0,692.0,678.0,684.0,7165000,0.0,0.0
1999-05-14,686.0,686.0,674.0,676.0,11475000,0.0,0.0
1999-05-17,666.0,668.0,654.0,656.0,10900000,0.0,0.0
1999-05-18,660.0,682.0,654.0,678.0,13680000,0.0,0.0
1999-05-19,658.0,662.0,630.0,650.0,19680000,0.0,0.0
1999-05-20,658.0,672.0,654.0,664.0,9375000,0.0,0.0
1999-05-21,670.0,674.0,656.0,666.0,11610000,0.0,0.0
1999-05-24,666.0,666.0,644.0,666.0,9865000,0.0,0.0
1999-05-25,656.0,676.0,656.0,676.0,13750000,0.0,0.0
1999-05-26,668.0,674.0,660.0,664.0,7105000,0.0,0.0
1999-05-27,668.0,668.0,654.0,664.0,6125000,0.0,0.0
1999-05-28,658.0,660.0,648.0,660.0,7785000,0.0,0.0
1999-05-31,662.0,668.0,646.0,646.0,9535000,0.0,0.0
1999-06-01,652.0,668.0,648.0,668.0,13955000,0.0,0.0
1999-06-02,678.0,694.0,676.0,688.0,19695000,0.0,0.0
1999-06-03,700.0,700.0,688.0,688.0,11030000,0.0,0.0
1999-06-04,694.0,694.0,670.0,686.0,6430000,0.0,0.0
1999-06-07,686.0,704.0,680.0,700.0,11505000,0.0,0.0
1999-06-08,706.0,716.0,702.0,716.0,10975000,0.0,0.0
1999-06-09,710.0,724.0,708.0,716.0,16620000,0.0,0.0
1999-06-10,716.0,730.0,714.0,726.0,12990000,0.0,0.0
1999-06-11,732.0,748.0,726.0,736.0,45585000,0.0,0.0
